#,Assembly Constituency,Candidate,Party,Vote,Party,,
157,Bhandup West,Ramesh Gajanan Korgaonkar,Shiv Sena,71955,Maharashtra Navnirman Sena,,
158,Jogeshwari East,Ravindra Waikar,Shiv Sena,90654,Indian National Congress,,
159,Dindoshi,Sunil Prabhu,Shiv Sena,82203,Nationalist Congress Party,,
160,Kandivali East,Atul Bhatkhalkar,Bharatiya Janata Party,85152,Indian National Congress,,
161,Charkop,Yogesh Sagar,Bharatiya Janata Party,108202,Indian National Congress,,
162,Malad West,Aslam Shaikh,Indian National Congress,108202,Bharatiya Janata Party,,
163,Goregaon,Vidya Thakur,Bharatiya Janata Party,81233,Indian National Congress,,
164,Versova,Dr. Bharati Hemant Lavekar,Bharatiya Janata Party,41057,Indian National Congress,,
165,Andheri West,Ameet Bhaskar Satam,Bharatiya Janata Party,65615,Indian National Congress,,
166,Andheri East,Ramesh Latke,Shiv Sena,62773,Independent,,
167,Vile Parle,Parag Alavani,Bharatiya Janata Party,84991,Indian National Congress,,
168,Chandivali,Dilip Lande,Shiv Sena,85879,Indian National Congress,,
169,Ghatkopar West,Ram Kadam,Bharatiya Janata Party,70263,Independent,,
170,Ghatkopar East,Parag Shah,Bharatiya Janata Party,73054,Maharashtra Navnirman Sena,,
171,Mankhurd Shivaji Nagar,Abu Asim Azmi,Samajwadi Party,69082,Shiv Sena,,
172,Anushakti Nagar,Nawab Malik,Nationalist Congress Party,65217,Shiv Sena,,
173,Chembur,Prakash Phaterpekar,Shiv Sena,53264,Indian National Congress,,
174,Kurla,Mangesh Kudalkar,Shiv Sena,55049,Nationalist Congress Party,,
175,Kalina,Sanjay Potnis,Shiv Sena,43319,Indian National Congress,,
176,Vandre East,Zeeshan Siddique,Indian National Congress,38337,Shiv Sena,,
177,Vandre West,Ashish Shelar,Bharatiya Janata Party,74816,Indian National Congress,,
178,Dharavi,Varsha Gaikwad,Indian National Congress,53954,Shiv Sena,,
179,Sion Koliwada,Captain R. Tamil Selvan,Bharatiya Janata Party,54845,Indian National Congress,,
180,Wadala,Kalidas Kolambkar,Bharatiya Janata Party,56485,Indian National Congress,,
181,Mahim,Sada Sarvankar,Shiv Sena,61337,Maharashtra Navnirman Sena,,
182,Worli,Aditya Thackeray,Shiv Sena,89248,Nationalist Congress Party,,
183,Shivadi,Ajay Choudhari,Shiv Sena,77687,Maharashtra Navnirman Sena,,
184,Byculla,Yamini Jadhav,Shiv Sena,51180,All India Majlis-E-Ittehadul Muslimeen,,
185,Malabar Hill,Mangal Prabhat Lodha,Bharatiya Janata Party,93538,Indian National Congress,,
186,Mumbadevi,Amin Patel,Indian National Congress,93538,Shiv Sena,,
187,Colaba,Rahul Narwekar,Bharatiya Janata Party,57420,Indian National Congress,,
188,Panvel,Prashant Thakur,Bharatiya Janata Party,179109,Peasants And Workers Party of India,,
189,Karjat,Mahendra Sadashiv Thorve,Shiv Sena,102208,Nationalist Congress Party,,
190,Uran,Mahesh Baldi,Independent,74549,Shiv Sena,,
191,Pen,Ravisheth Patil,Bharatiya Janata Party,112380,Peasants And Workers Party of India,,
192,Alibag,Mahendra Dalvi,Shiv Sena,111946,Peasants And Workers Party of India,,
